owner,repo,repo_full,run_id,workflow_name,event,status,conclusion,created_at,run_started_at,updated_at,head_sha,pr_numbers,run_started_dt,updated_dt,ci_duration_min,is_failure,is_cd_workflow
prometheus,prometheus,prometheus/prometheus,12226147194,Lock Threads,schedule,completed,success,2024-12-08T23:21:08Z,2024-12-08T23:21:08Z,2026-01-12T23:25:32Z,af2a1cb10c89de496cd4309ac532624b34112d74,"[93, 5, 3, 14]",2024-12-08 23:21:08+00:00,2026-01-12 23:25:32+00:00,576004.4,False,False
prometheus,prometheus,prometheus/prometheus,12225965629,CI,pull_request,completed,failure,2024-12-08T22:54:22Z,2024-12-08T22:54:22Z,2026-01-12T23:09:32Z,a5c20713dc20ec238e684b1ecfb9dce5b69f8d72,[],2024-12-08 22:54:22+00:00,2026-01-12 23:09:32+00:00,576015.1666666666,True,False
prometheus,prometheus,prometheus/prometheus,12225965644,Scorecards supply-chain security,pull_request,completed,success,2024-12-08T22:54:22Z,2024-12-08T22:54:22Z,2026-01-12T23:00:18Z,a5c20713dc20ec238e684b1ecfb9dce5b69f8d72,[],2024-12-08 22:54:22+00:00,2026-01-12 23:00:18+00:00,576005.9333333333,False,False
prometheus,prometheus,prometheus/prometheus,12225752411,Stale Check,schedule,completed,success,2024-12-08T22:22:07Z,2024-12-08T22:22:07Z,2026-01-12T22:27:39Z,af2a1cb10c89de496cd4309ac532624b34112d74,"[93, 5, 3, 14]",2024-12-08 22:22:07+00:00,2026-01-12 22:27:39+00:00,576005.5333333333,False,False
prometheus,prometheus,prometheus/prometheus,12225170536,Scorecards supply-chain security,pull_request,completed,success,2024-12-08T20:54:57Z,2024-12-08T20:54:57Z,2026-01-12T20:57:54Z,83759ef8e6b6246e54ea0c0853ee405ead43c21e,[],2024-12-08 20:54:57+00:00,2026-01-12 20:57:54+00:00,576002.95,False,False
prometheus,prometheus,prometheus/prometheus,12225170538,CI,pull_request,completed,success,2024-12-08T20:54:57Z,2024-12-08T20:54:57Z,2026-01-12T21:18:37Z,83759ef8e6b6246e54ea0c0853ee405ead43c21e,[],2024-12-08 20:54:57+00:00,2026-01-12 21:18:37+00:00,576023.6666666666,False,False
prometheus,prometheus,prometheus/prometheus,12223953295,Sync repo files,schedule,completed,success,2024-12-08T17:46:31Z,2024-12-08T17:46:31Z,2026-01-12T17:51:46Z,af2a1cb10c89de496cd4309ac532624b34112d74,"[93, 5, 3, 14]",2024-12-08 17:46:31+00:00,2026-01-12 17:51:46+00:00,576005.25,False,False
prometheus,prometheus,prometheus/prometheus,12216913633,Lock Threads,schedule,completed,success,2024-12-07T23:21:04Z,2024-12-07T23:21:04Z,2026-01-11T23:24:00Z,af2a1cb10c89de496cd4309ac532624b34112d74,"[93, 5, 3, 14]",2024-12-07 23:21:04+00:00,2026-01-11 23:24:00+00:00,576002.9333333333,False,False
prometheus,prometheus,prometheus/prometheus,12216566780,Stale Check,schedule,completed,success,2024-12-07T22:22:04Z,2024-12-07T22:22:04Z,2026-01-11T22:24:59Z,af2a1cb10c89de496cd4309ac532624b34112d74,"[93, 5, 3, 14]",2024-12-07 22:22:04+00:00,2026-01-11 22:24:59+00:00,576002.9166666666,False,False
prometheus,prometheus,prometheus/prometheus,12214899798,Sync repo files,schedule,completed,success,2024-12-07T17:46:29Z,2024-12-07T17:46:29Z,2026-01-11T17:50:39Z,af2a1cb10c89de496cd4309ac532624b34112d74,"[93, 5, 3, 14]",2024-12-07 17:46:29+00:00,2026-01-11 17:50:39+00:00,576004.1666666666,False,False
