owner,repo,repo_full,release_id,tag_name,name,draft,prerelease,created_at,published_at,published_at_dt,created_at_dt,release_time_dt
prometheus,prometheus,prometheus/prometheus,274886115,v3.9.1,3.9.1 / 2026-01-07,False,False,2026-01-07T16:06:06Z,2026-01-07T17:05:53Z,2026-01-07 17:05:53+00:00,2026-01-07 16:06:06+00:00,2026-01-07 17:05:53+00:00
prometheus,prometheus,prometheus/prometheus,274589045,v3.9.0,3.9.0 / 2026-01-06,False,False,2026-01-06T16:52:05Z,2026-01-07T10:23:50Z,2026-01-07 10:23:50+00:00,2026-01-06 16:52:05+00:00,2026-01-07 10:23:50+00:00
prometheus,prometheus,prometheus/prometheus,272458947,v3.9.0-rc.0,3.9.0-rc.0 / 2025-12-18,False,True,2025-12-23T11:57:43Z,2025-12-23T14:05:07Z,2025-12-23 14:05:07+00:00,2025-12-23 11:57:43+00:00,2025-12-23 14:05:07+00:00
prometheus,prometheus,prometheus/prometheus,270667236,v3.8.1,3.8.1 / 2025-12-16,False,False,2025-12-16T08:44:31Z,2025-12-16T09:59:22Z,2025-12-16 09:59:22+00:00,2025-12-16 08:44:31+00:00,2025-12-16 09:59:22+00:00
prometheus,prometheus,prometheus/prometheus,266662837,v3.8.0,3.8.0 / 2025-11-28,False,False,2025-12-02T09:06:03Z,2025-12-02T10:11:05Z,2025-12-02 10:11:05+00:00,2025-12-02 09:06:03+00:00,2025-12-02 10:11:05+00:00
prometheus,prometheus,prometheus/prometheus,264908089,v3.8.0-rc.1,3.8.0-rc.1 / 2025-11-21,False,True,2025-11-24T19:18:12Z,2025-11-24T19:57:48Z,2025-11-24 19:57:48+00:00,2025-11-24 19:18:12+00:00,2025-11-24 19:57:48+00:00
prometheus,prometheus,prometheus/prometheus,263774432,v3.8.0-rc.0,3.8.0-rc.0 / 2025-11-07,False,True,2025-11-19T19:47:45Z,2025-11-19T20:29:09Z,2025-11-19 20:29:09+00:00,2025-11-19 19:47:45+00:00,2025-11-19 20:29:09+00:00
prometheus,prometheus,prometheus/prometheus,258387242,v3.7.3,3.7.3 / 2025-10-29,False,False,2025-10-30T07:23:22Z,2025-10-30T08:13:00Z,2025-10-30 08:13:00+00:00,2025-10-30 07:23:22+00:00,2025-10-30 08:13:00+00:00
prometheus,prometheus,prometheus/prometheus,256345290,v3.7.2,3.7.2 / 2025-10-22,False,False,2025-10-22T12:38:44Z,2025-10-22T15:59:37Z,2025-10-22 15:59:37+00:00,2025-10-22 12:38:44+00:00,2025-10-22 15:59:37+00:00
prometheus,prometheus,prometheus/prometheus,255243609,v3.7.1,3.7.1 / 2025-10-16,False,False,2025-10-17T06:29:37Z,2025-10-17T08:40:17Z,2025-10-17 08:40:17+00:00,2025-10-17 06:29:37+00:00,2025-10-17 08:40:17+00:00
prometheus,prometheus,prometheus/prometheus,254644421,v3.7.0,3.7.0 / 2025-10-15,False,False,2025-10-15T10:15:50Z,2025-10-15T11:12:57Z,2025-10-15 11:12:57+00:00,2025-10-15 10:15:50+00:00,2025-10-15 11:12:57+00:00
